model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
DistilBERT,4,ptq,transformer_layer_2/feedforward_intermediate_dense/kernel,3,2,5,0.0625,-4,False,False,1.0,1.0
DistilBERT,4,ptq,token_and_position_embedding/position_embedding/embeddings,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_2/self_attention_layer/query/kernel,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_2/self_attention_layer/attention_output/kernel,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_5/self_attention_layer/query/kernel,2,1,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_0/feedforward_output_dense/kernel,2,2,4,0.125,-3,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_0/self_attention_layer/attention_output/kernel,1,1,2,0.5,-1,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_5/feedforward_output_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,4,ptq,pooled_dense/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_0/self_attention_layer/query/kernel,1,2,3,0.25,-2,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_5/self_attention_layer/attention_output/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,ptq,logits/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,4,ptq,transformer_layer_2/feedforward_output_dense/kernel,3,5,8,0.0078125,-7,True,False,0.7265625,1.0
DistilBERT,4,ptq,transformer_layer_2/self_attention_layer/value/kernel,2,4,6,0.03125,-5,True,False,0.6875,1.0
DistilBERT,4,ptq,token_and_position_embedding/token_embedding/embeddings,5,8,13,0.000244140625,-12,True,True,0.5810546875,1.0
DistilBERT,8,ptq,token_and_position_embedding/token_embedding/embeddings,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,token_and_position_embedding/position_embedding/embeddings,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/self_attention_layer/query/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/self_attention_layer/key/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/self_attention_layer/value/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/self_attention_layer/attention_output/kernel,0,0,0,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/feedforward_intermediate_dense/kernel,0,1,1,1.0,0,False,False,1.0,1.0
DistilBERT,8,ptq,transformer_layer_0/feedforward_output_dense/kernel,0,2,2,0.5,-1,False,False,0.5,1.0
